Monkey,Day,Amp2,Width2,Freq2,Dur2,Active_Channels,Return_Channels,Freq1,Dur1,Dimension,Fixed_Param_Value,Date,Threshold,width,lambda,gamma,beta,location_CI_95,width_CI_95,lambda_CI_95,gamma_CI_95,beta_CI_95,location_CI_5,width_CI_5,lambda_CI_5,gamma_CI_5,beta_CI_5,Experiment Type,Reference Amplitude (μA),Reference Pulse Width (μs),Reference Charge (nC),Amplitude (μA),Pulse Width (μs),Threshold_Charge_nC,Difference Threshold (nC),Weber_Fraction
U,320,600,200,50,500,15,128,50,500,Amp,200,5/10/2017,642.3270176,95.95329261,0.063963281,1.34E-09,2.19E-13,606.1588606,39.51342367,0.026912916,0.002266531,0.002017367,667.2044054,363.6347987,0.122711878,0.247842309,0.21655406,Discrimination,600,200,120,642.3270176,200,128.4654035,8.465403523,0.070545029
U,326,400,200,50,500,15,64,50,500,Amp,200,5/16/2017,526.2031633,295.6034284,2.84E-07,2.85E-06,3.39E-05,477.1469663,92.3906847,0.002165033,0.003522203,0.00242063,594.0638405,497.866145,0.254720534,0.283730964,0.277929665,Discrimination,400,200,80,526.2031633,200,105.2406327,25.24063267,0.315507908
U,326,600,200,50,500,15,64,50,500,Amp,200,5/16/2017,711.7072258,117.770043,0.109605283,0.078793018,1.05E-13,682.7927984,58.72490044,0.005330637,0.003721624,0.002187363,745.2185088,369.3680932,0.239973257,0.209500622,0.23900399,Discrimination,600,200,120,711.7072258,200,142.3414452,22.34144517,0.18617871
U,326,800,200,50,500,15,64,50,500,Amp,200,5/16/2017,843.3083742,521.7785933,5.64E-08,1.73E-06,1.84E-06,611.6957047,182.2319491,0.002828471,0.002557416,0.00249823,939.0442487,1014.757046,0.299850656,0.313691285,0.285332313,Discrimination,800,200,160,843.3083742,200,168.6616748,8.661674848,0.054135468
U,357,200,100,50,500,15,128,50,500,Amp,200,6/16/2017,208.7875766,17.78132553,3.56E-09,6.65E-06,0.000228252,201.4871253,12.82597064,0.000529919,0.001701452,0.002849829,214.4647234,58.05325066,0.073393808,0.219179221,0.370644757,Discrimination,200,100,20,208.7875766,200,41.75751531,21.75751531,1.087875766
U,375,400,100,50,500,15,16,50,500,Amp,200,7/4/2017,418.6420585,39.0113331,0.053013229,4.59E-10,7.76E-11,359.4924995,34.16400905,0.010003534,0.002601807,0.002484445,461.5693705,326.1566918,0.262383076,0.31538316,0.298876364,Discrimination,400,100,40,418.6420585,200,83.7284117,43.7284117,1.093210292
U,615,500,200,50,200,15,128,50,200,Amp,200,3/1/2018,800.3486597,464.7632948,1.79E-16,0.046769704,1.81E-12,710.7941497,164.3551396,0.002059146,0.004325329,0.002583415,863.0805039,796.4223543,0.195783267,0.195350283,0.288862094,Discrimination,500,200,100,800.3486597,200,160.0697319,60.06973194,0.600697319
U,615,1000,200,50,200,15,128,50,200,Amp,200,3/1/2018,1161.2152,277.9028167,3.42E-13,0.080991421,2.51E-09,1106.933673,115.6820797,0.000625658,0.020607673,0.002674188,1225.203092,511.2137041,0.085229137,0.228976994,0.315395172,Discrimination,1000,200,200,1161.2152,200,232.24304,32.24303995,0.1612152
U,640,500,200,50,200,15,128,50,200,Amp,200,3/26/2018,771.7948718,821.5384615,0,0,0,130.0131831,136.3060463,0.004137973,0.002449704,0.002526454,1053.340452,1659.034564,0.331921632,0.296500734,0.308961877,Discrimination,500,200,100,771.7948718,200,154.3589744,54.35897436,0.543589744
U,641,400,200,50,200,15,128,50,200,Amp,200,3/27/2018,467.0581458,408.6292717,1.70E-06,9.23E-13,7.11E-12,410.5519095,121.2192245,0.001589821,0.002698781,0.004030189,519.0492957,602.396297,0.093990965,0.283110546,0.330963414,Discrimination,400,200,80,467.0581458,200,93.41162915,13.41162915,0.167645364
